iter	Passed	Remaining
0	57	57230
1	57	28785
2	58	19429
3	58	14677
4	59	11847
5	60	9964
6	60	8634
7	61	7601
8	61	6806
9	62	6160
10	62	5638
11	63	5206
12	63	4835
13	64	4516
14	64	4237
15	64	3995
16	65	3774
17	65	3577
18	65	3405
19	66	3251
20	66	3108
21	67	2982
22	67	2864
23	67	2754
24	68	2654
25	68	2570
26	68	2484
27	69	2404
28	69	2330
29	70	2265
30	70	2204
31	70	2146
32	71	2095
33	71	2043
34	72	1995
35	72	1952
36	73	1921
37	74	1879
38	74	1839
39	75	1800
40	75	1761
41	75	1729
42	76	1703
43	77	1675
44	77	1644
45	77	1614
46	78	1587
47	78	1562
48	79	1534
49	79	1509
50	79	1487
51	80	1464
52	80	1441
53	80	1418
54	81	1398
55	81	1379
56	82	1360
57	82	1340
58	82	1321
59	83	1305
60	83	1289
61	84	1274
62	84	1260
63	85	1245
64	85	1229
65	85	1213
66	86	1198
67	86	1183
68	86	1168
69	86	1155
70	87	1142
71	87	1130
72	88	1118
73	88	1105
74	88	1094
75	89	1082
76	89	1073
77	90	1064
78	90	1053
79	90	1042
80	91	1033
81	91	1023
82	91	1012
83	92	1003
84	92	994
85	93	989
86	93	984
87	94	976
88	94	966
89	94	959
90	95	951
91	95	942
92	95	934
93	96	927
94	96	921
95	97	916
96	97	908
97	98	902
98	98	897
99	99	891
100	99	885
101	99	880
102	100	874
103	100	868
104	101	861
105	101	855
106	101	849
107	102	843
108	102	840
109	103	840
110	104	840
111	105	836
112	106	832
113	106	826
114	106	821
115	107	817
116	107	811
117	107	806
118	108	802
119	108	798
120	109	793
121	109	787
122	109	782
123	110	777
124	110	772
125	110	768
126	111	764
127	111	760
128	112	756
129	112	752
130	112	747
131	113	744
132	113	739
133	113	736
134	114	733
135	114	729
136	115	726
137	115	722
138	116	718
139	116	714
140	116	710
141	116	705
142	117	702
143	118	706
144	119	703
145	119	700
146	120	698
147	120	694
148	121	696
149	122	693
150	122	691
151	123	688
152	124	686
153	124	683
154	124	680
155	125	677
156	125	674
157	125	670
158	126	668
159	126	664
160	126	661
161	127	658
162	127	655
163	128	652
164	128	649
165	128	646
166	128	643
167	129	640
168	129	637
169	129	634
170	130	631
171	130	629
172	131	626
173	131	624
174	131	621
175	132	619
176	133	621
177	134	619
178	134	616
179	134	613
180	136	616
181	137	616
182	137	614
183	138	615
184	139	614
185	139	611
186	140	609
187	140	606
188	140	603
189	141	602
190	141	599
191	141	597
192	142	595
193	142	592
194	143	590
195	143	587
196	143	585
197	143	582
198	144	580
199	144	578
200	144	575
201	145	573
202	145	571
203	145	568
204	146	567
205	146	565
206	147	563
207	148	563
208	148	561
209	152	575
210	153	573
211	154	574
212	155	573
213	155	572
214	156	569
215	156	568
216	157	566
217	157	564
218	158	564
219	158	562
220	159	560
221	160	561
222	161	562
223	162	562
224	162	560
225	163	558
226	163	556
227	169	575
228	172	580
229	174	583
230	175	583
231	175	581
232	176	579
233	176	577
234	176	575
235	177	574
236	177	572
237	178	570
238	178	568
239	178	566
240	179	564
241	185	582
242	186	580
243	187	580
244	187	578
245	188	576
246	188	574
247	188	572
248	189	570
249	189	568
250	189	566
251	190	563
252	190	562
253	190	559
254	191	559
255	191	557
256	192	555
257	192	553
258	192	551
259	193	549
260	193	547
261	193	545
262	193	543
263	194	541
264	194	539
265	194	537
266	195	535
267	195	533
268	195	531
269	195	529
270	196	527
271	196	526
272	197	525
273	198	526
274	198	524
275	199	522
276	199	521
277	200	519
278	200	517
279	200	516
280	200	514
281	201	512
282	201	510
283	201	508
284	202	507
285	202	505
286	202	503
287	202	501
288	203	499
289	203	498
290	203	496
291	204	494
292	204	493
293	204	491
294	205	489
295	205	488
296	205	486
297	205	484
298	206	483
299	206	481
300	206	480
301	207	478
302	207	477
303	207	475
304	208	474
305	208	472
306	208	470
307	208	469
308	209	467
309	209	466
310	209	465
311	210	464
312	211	463
313	212	463
314	213	463
315	213	462
316	214	462
317	215	461
318	215	461
319	216	459
320	216	458
321	217	457
322	217	455
323	217	454
324	218	452
325	218	451
326	218	450
327	219	449
328	219	448
329	220	446
330	220	445
331	221	445
332	221	443
333	222	443
334	223	443
335	224	444
336	225	444
337	227	445
338	229	448
339	230	447
340	231	447
341	231	446
342	232	445
343	232	443
344	233	442
345	233	441
346	234	441
347	234	440
348	235	439
349	236	438
350	237	438
351	237	437
352	238	437
353	239	436
354	239	435
355	240	435
356	242	436
357	243	435
358	244	436
359	245	435
360	245	434
361	246	433
362	246	432
363	248	433
364	248	432
365	249	432
366	250	432
367	252	432
368	252	432
369	253	431
370	254	431
371	255	432
372	256	431
373	257	430
374	257	429
375	258	428
376	259	428
377	259	426
378	259	425
379	261	426
380	261	425
381	262	424
382	263	424
383	263	422
384	263	421
385	264	420
386	265	420
387	265	419
388	266	418
389	267	417
390	267	416
391	267	415
392	268	414
393	270	416
394	271	415
395	272	415
396	272	414
397	275	416
398	277	417
399	277	416
400	278	415
401	278	414
402	278	413
403	279	411
404	279	410
405	280	410
406	281	409
407	281	408
408	281	407
409	282	406
410	282	404
411	282	403
412	283	402
413	284	402
414	284	401
415	285	400
416	286	400
417	286	399
418	287	398
419	287	397
420	288	396
421	289	395
422	289	395
423	291	396
424	292	395
425	292	394
426	293	393
427	294	393
428	294	392
429	295	391
430	295	390
431	296	389
432	297	389
433	301	393
434	301	391
435	302	390
436	302	389
437	303	388
438	303	387
439	305	389
440	306	388
441	306	387
442	307	386
443	308	386
444	309	385
445	310	385
446	310	384
447	311	384
448	312	383
449	312	382
450	313	381
451	313	379
452	313	378
453	314	378
454	315	377
455	315	376
456	316	375
457	316	374
458	316	373
459	317	372
460	317	371
461	318	370
462	318	369
463	319	368
464	319	367
465	319	366
466	320	365
467	321	365
468	321	364
469	322	363
470	322	362
471	323	361
472	324	361
473	324	360
474	325	359
475	327	360
476	328	360
477	329	359
478	334	363
479	334	362
480	335	361
481	335	360
482	336	359
483	336	359
484	337	358
485	337	357
486	338	356
487	338	355
488	338	354
489	339	353
490	339	352
491	340	351
492	340	350
493	341	349
494	341	348
495	342	347
496	342	346
497	343	345
498	343	344
499	343	343
500	344	342
501	344	341
502	344	340
503	344	339
504	345	338
505	345	337
506	345	336
507	346	335
508	346	334
509	346	333
510	347	332
511	347	331
512	347	330
513	348	329
514	348	328
515	349	327
516	349	326
517	349	325
518	350	324
519	350	323
520	350	322
521	351	321
522	351	320
523	351	319
524	352	318
525	352	317
526	352	316
527	353	315
528	353	314
529	353	313
530	354	312
531	354	311
532	354	310
533	354	309
534	355	308
535	355	307
536	355	306
537	356	305
538	356	304
539	356	303
540	356	302
541	357	301
542	357	301
543	358	300
544	358	299
545	358	298
546	359	297
547	359	296
548	360	295
549	360	294
550	360	294
551	361	293
552	361	292
553	361	291
554	362	290
555	362	289
556	362	288
557	363	287
558	363	286
559	363	285
560	364	285
561	364	284
562	364	283
563	365	282
564	365	281
565	365	280
566	366	279
567	366	278
568	366	277
569	367	276
570	367	276
571	367	275
572	368	274
573	368	273
574	369	272
